Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69
1,32,44,71,78,4,2,84,28,78,87,11,91,19,0,89,81,78,49,20,43,49,83,15,29,83,1,61,6,87,90,36,79,82,42,84,60,86,63,24,95,7,48,57,57,51,32,48,86,8,73,5,0,29,31,66,23,24,8,13,2,74,26,74,62,36,57,78,6,67,43,98
1,33,44,71,78,4,2,84,28,78,87,11,91,19,0,89,81,78,49,20,43,49,83,15,29,83,1,61,6,87,90,36,79,82,42,84,60,86,63,24,95,7,48,57,57,51,32,48,86,8,73,5,0,29,31,66,23,24,8,13,2,74,26,74,62,36,57,78,6,67,43,98
1,34,44,71,78,4,2,84,28,78,87,11,91,19,0,89,81,78,49,20,43,49,83,15,29,83,1,61,6,87,90,36,79,82,42,84,60,86,63,24,95,7,48,57,57,51,32,48,86,8,73,5,0,29,31,66,23,24,4,13,2,74,26,74,62,36,57,78,6,67,43,98
1,35,44,71,78,4,2,84,28,78,87,11,91,19,0,89,81,78,49,20,43,49,83,15,29,83,1,61,6,87,90,36,79,82,42,84,60,86,63,24,95,7,48,57,57,51,32,48,86,8,73,5,0,29,31,66,23,24,4,13,2,74,26,74,62,36,57,78,6,67,40,98
1,36,44,71,78,4,2,84,28,78,87,11,91,19,0,89,81,78,49,20,43,49,86,15,29,83,1,61,6,87,90,36,79,82,42,84,60,86,63,24,95,7,48,57,57,51,32,48,86,88,73,5,0,29,31,66,23,24,4,13,2,74,26,74,62,36,57,78,6,67,40,98
1,37,44,71,78,4,2,84,28,78,87,11,91,19,0,89,81,78,49,20,43,49,86,15,29,83,1,61,6,87,90,36,79,82,42,84,60,86,63,24,95,7,48,57,57,51,32,48,86,88,73,5,0,29,31,66,23,24,4,13,2,74,26,74,62,36,57,78,6,67,40,98
1,38,44,71,78,4,2,84,28,78,87,11,91,19,0,89,81,78,49,20,43,49,86,15,29,83,1,61,6,87,90,36,79,82,42,84,60,86,63,24,95,7,48,57,57,51,32,48,86,88,73,5,0,29,31,66,23,24,4,13,2,74,26,74,62,36,57,78,6,67,40,98
1,39,44,71,78,4,2,84,28,78,87,11,91,19,0,89,81,78,49,20,43,49,86,15,29,83,1,61,6,87,90,36,79,82,42,84,60,86,63,24,95,7,48,57,57,51,32,48,86,88,73,5,0,29,31,66,23,24,4,13,2,74,26,74,62,36,57,78,6,67,40,98
2,0,99,40,66,7,27,99,73,2,32,88,35,15,80,95,42,2,51,4,0,10,80,56,75,42,42,35,1,0,81,70,83,25,3,32,20,32,34,20,22,77,31,78,82,23,35,92,81,38,69,5,79,24,27,89,72,54,62,23,29,49,13,23,11,42,48,96,70,75,15,47
2,1,97,49,66,29,39,99,76,2,81,89,11,10,40,94,78,53,58,5,54,97,85,54,70,42,42,37,1,9,89,98,85,53,89,85,64,33,99,81,29,70,88,78,81,33,25,99,86,57,86,0,80,20,53,67,75,54,61,31,29,45,13,77,18,42,63,92,25,72,21,47
2,2,97,49,66,29,39,99,76,26,49,80,55,87,90,90,62,32,54,7,46,38,84,50,78,42,42,37,1,9,89,98,85,53,89,85,64,33,99,81,29,57,47,68,88,73,27,94,84,57,86,0,80,20,53,67,75,57,61,3,64,45,13,77,18,26,38,92,25,72,21,45
2,3,96,76,56,75,79,29,73,26,49,80,55,87,90,90,62,37,56,5,46,38,89,54,78,44,22,31,31,8,88,18,2,30,29,45,14,63,49,81,21,57,47,68,88,73,77,90,84,55,41,80,39,48,2,27,44,57,61,21,62,43,12,70,38,26,50,68,4,79,81,43
