Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39
2,21,7,42,10,22,95,33,98,6,35,64,96,94,76,15,61,90,38,23,0,44,68,41,95,16,78,90,30,59,63,26,34,98,78,56,74,8,26,52,61,89
2,22,7,42,10,22,95,33,98,6,35,64,96,94,76,15,61,90,38,23,0,44,68,41,95,16,78,90,30,59,63,26,34,98,78,56,74,8,26,52,61,89
2,23,7,42,10,22,95,33,98,6,35,64,96,94,76,15,61,90,38,23,0,44,68,41,95,16,78,90,30,59,63,26,34,98,78,56,74,4,26,52,61,89
2,24,7,42,10,22,95,33,98,6,35,64,96,94,76,15,61,90,38,23,0,44,68,41,95,16,78,90,30,59,63,26,34,98,78,56,74,4,26,57,61,89
2,25,7,42,10,22,95,33,98,6,35,64,96,94,76,15,61,90,38,23,0,44,68,41,95,16,78,90,30,59,63,26,34,98,78,56,74,4,26,57,61,89
2,26,7,42,10,22,95,33,98,6,35,64,96,94,76,15,61,90,38,23,0,44,68,41,95,16,78,90,30,59,63,26,34,98,78,56,74,4,26,57,61,89
2,27,7,42,10,22,95,33,98,6,35,64,96,94,76,15,61,90,38,23,0,44,68,41,95,16,78,90,30,59,63,26,34,98,78,56,74,4,26,57,61,89
2,28,7,42,10,22,95,33,98,6,35,64,96,94,76,15,61,90,38,23,0,44,68,41,95,16,78,90,30,59,63,26,34,98,78,54,74,4,26,52,61,89
2,29,7,45,10,22,95,33,98,6,35,64,96,94,76,15,61,90,38,23,0,47,68,42,95,16,78,90,30,59,63,26,34,98,70,54,74,4,26,52,61,89
2,30,7,45,10,22,95,33,98,6,35,64,96,94,76,15,61,90,38,23,0,47,68,42,95,16,78,90,30,59,63,26,34,98,70,54,74,4,26,52,61,89
2,31,7,45,10,22,95,33,98,6,35,64,96,94,76,15,61,90,38,23,0,47,68,42,95,16,78,90,30,59,63,26,34,98,70,54,74,4,26,57,61,89
2,32,7,45,10,22,95,33,98,6,35,64,96,94,76,15,61,90,38,23,0,47,68,42,95,16,78,90,30,59,63,26,34,98,70,54,74,4,26,57,61,89
2,33,7,45,10,22,95,33,98,6,35,64,96,94,76,15,61,90,38,23,0,47,68,42,95,16,78,90,30,59,63,26,34,98,70,54,74,4,26,57,61,89
2,34,7,45,10,22,95,33,98,6,35,64,96,94,76,15,61,90,38,23,5,47,68,42,95,16,78,90,30,59,63,26,34,98,70,54,74,4,26,57,61,89
2,35,7,45,10,22,95,33,98,6,35,64,96,94,76,15,61,90,38,23,5,47,68,42,95,16,78,90,30,59,63,26,34,98,78,54,74,4,26,57,61,89
2,36,7,45,10,22,95,33,98,6,35,64,96,94,76,15,61,90,38,23,5,47,68,42,95,16,78,90,30,59,63,26,34,98,78,54,74,4,26,57,61,89
2,37,7,45,10,22,95,33,98,6,35,64,96,94,76,15,61,90,38,23,5,47,68,42,95,16,78,90,30,59,63,26,34,98,78,54,74,8,26,57,61,89
2,38,7,45,10,22,98,33,98,6,35,64,96,94,76,15,61,90,38,23,5,47,68,42,95,16,78,90,30,59,63,26,34,98,78,54,74,8,26,52,61,89
2,39,7,45,10,22,98,33,98,6,35,64,96,94,76,15,61,90,38,23,5,47,68,42,95,16,78,90,30,59,63,26,34,98,78,54,74,8,26,52,61,89
3,0,32,68,81,3,34,6,7,66,76,33,14,89,51,11,45,20,61,93,63,19,12,62,93,5,37,4,99,94,43,38,98,74,88,7,98,36,68,79,56,1
3,1,52,49,54,73,39,86,4,6,76,34,18,80,52,94,25,25,56,83,69,80,8,64,59,2,32,4,93,94,17,40,94,72,88,6,99,31,13,79,41,90
3,2,82,34,91,63,34,86,2,16,78,38,44,89,56,34,95,26,91,85,66,34,92,62,73,7,33,74,96,91,83,80,92,74,82,58,98,91,4,74,76,70
3,3,62,24,94,33,33,46,2,46,78,35,48,80,68,34,75,26,36,2,62,30,95,64,79,7,38,74,98,91,61,58,46,72,87,86,99,57,7,74,76,73
3,4,62,24,94,33,33,46,2,46,78,38,54,80,68,34,15,26,36,2,62,30,95,64,79,7,38,74,98,91,63,58,46,72,87,81,98,57,7,77,76,73
3,5,62,24,94,33,33,46,2,46,78,38,54,80,68,34,15,26,36,2,66,54,95,64,79,7,38,74,98,91,63,68,45,72,87,81,98,57,7,77,76,73
3,6,62,24,94,33,33,16,2,26,70,38,54,80,68,34,15,26,36,2,66,54,95,44,89,7,38,74,98,91,63,68,45,79,57,81,99,57,44,78,76,63
3,7,62,74,44,33,33,36,2,36,70,38,54,80,68,34,15,26,36,75,66,40,95,34,89,7,58,74,98,91,63,68,55,56,52,81,99,57,47,78,76,63
3,8,62,74,44,93,33,36,2,36,78,38,54,39,68,34,15,58,36,75,6,40,98,34,89,7,78,54,98,91,93,68,55,56,57,11,99,77,44,74,66,63
3,9,62,74,44,93,33,36,2,36,78,38,54,70,66,64,15,58,36,75,6,40,98,34,89,7,78,54,98,91,93,68,55,56,57,21,99,77,44,74,66,63
3,10,62,74,44,93,33,26,92,36,78,38,74,40,68,64,15,58,36,45,6,44,95,34,89,7,78,54,98,91,93,98,15,69,57,21,99,77,44,74,66,63
3,11,62,4,44,23,33,26,94,76,78,38,74,40,68,64,15,58,36,45,2,94,98,34,89,7,63,54,98,91,93,98,15,9,52,21,99,77,42,74,66,63
3,12,22,4,44,23,33,26,94,76,78,38,34,90,68,64,15,58,36,45,2,90,95,34,89,7,63,54,98,91,93,98,15,9,52,21,99,77,42,77,66,63
3,13,22,4,44,23,33,26,94,76,78,38,34,10,68,64,15,58,36,45,2,90,95,34,89,7,63,54,98,91,93,98,15,9,52,21,99,77,42,72,66,63
